th,sensitivity,FPPI,TP,FP,FN
0.99,0.0,0.0,0,0,4642
0.98,0.0,0.0,0,0,4642
0.97,0.00043084877208099956,0.0,2,0,4640
0.9600000000000001,0.0012925463162429987,0.0005356186395286556,6,1,4636
0.9500000000000001,0.002154243860404998,0.0010712372790573112,10,2,4632
0.9400000000000001,0.003877638948728996,0.0016068559185859668,18,3,4624
0.93,0.0066781559672554934,0.002678093197643278,31,5,4611
0.92,0.00904782421370099,0.002678093197643278,42,5,4600
0.91,0.01120206807410599,0.0032137118371719335,52,6,4590
0.9,0.012925463162429988,0.004284949116229245,60,8,4582
0.89,0.015079707022834985,0.0058918050348152114,70,11,4572
0.88,0.015941404566996983,0.0058918050348152114,74,11,4568
0.87,0.017449375269280483,0.007498660953401178,81,14,4561
0.86,0.01981904351572598,0.008034279592929834,92,15,4550
0.8400000000000001,0.022834984920292976,0.00856989823245849,106,16,4536
0.85,0.021542438604049977,0.00856989823245849,100,16,4542
0.8300000000000001,0.023912106850495475,0.0096411355115158,111,18,4531
0.8200000000000001,0.024989228780697974,0.0096411355115158,116,18,4526
0.81,0.025635501938819475,0.010176754151044456,119,19,4523
0.8,0.026281775096940973,0.010176754151044456,122,19,4520
0.79,0.026928048255062474,0.010176754151044456,125,19,4517
0.78,0.02735889702714347,0.010712372790573112,127,20,4515
0.75,0.028005170185264973,0.011247991430101767,130,21,4512
0.73,0.02951314088754847,0.011247991430101767,137,21,4505
0.74,0.02886686772942697,0.011247991430101767,134,21,4508
0.77,0.027574321413183972,0.011247991430101767,128,21,4514
0.76,0.027574321413183972,0.011247991430101767,128,21,4514
0.72,0.02972856527358897,0.011783610069630423,138,22,4504
0.7100000000000001,0.02972856527358897,0.012319228709159078,138,23,4504
0.7000000000000001,0.03059026281775097,0.012854847348687734,142,24,4500
0.6900000000000001,0.03123653597587247,0.012854847348687734,145,24,4497
0.68,0.03166738474795347,0.012854847348687734,147,24,4495
0.67,0.03166738474795347,0.012854847348687734,147,24,4495
0.66,0.03209823352003447,0.012854847348687734,149,24,4493
0.65,0.03209823352003447,0.01339046598821639,149,25,4493
0.64,0.032529082292115465,0.01339046598821639,151,25,4491
0.63,0.032529082292115465,0.013926084627745045,151,26,4491
0.59,0.034467901766479965,0.015532940546331012,160,29,4482
0.62,0.03317535545023697,0.015532940546331012,154,29,4488
0.61,0.033390779836277466,0.015532940546331012,155,29,4487
0.6,0.034037052994398964,0.015532940546331012,158,29,4484
0.5800000000000001,0.03468332615252046,0.016068559185859668,161,30,4481
0.5700000000000001,0.03532959931064197,0.016068559185859668,164,30,4478
0.56,0.03532959931064197,0.016604177825388325,164,31,4478
0.55,0.03532959931064197,0.017675415104445636,164,33,4478
0.54,0.03532959931064197,0.017675415104445636,164,33,4478
0.53,0.03532959931064197,0.017675415104445636,164,33,4478
0.52,0.03532959931064197,0.017675415104445636,164,33,4478
0.51,0.035545023696682464,0.017675415104445636,165,33,4477
0.5,0.03576044808272297,0.018746652383502947,166,35,4476
0.49,0.035975872468763465,0.018746652383502947,167,35,4475
0.48000000000000004,0.03662214562688496,0.01981788966256026,170,37,4472
0.47000000000000003,0.03726841878500646,0.020353508302088912,173,38,4469
0.46,0.037483843171046964,0.02088912694161757,174,39,4468
0.45,0.03769926755708746,0.021424745581146223,175,40,4467
0.44,0.037914691943127965,0.022495982860203535,176,42,4466
0.43,0.03813011632916846,0.023031601499732192,177,43,4465
0.42000000000000004,0.03877638948728996,0.023031601499732192,180,43,4462
0.41000000000000003,0.03920723825937096,0.023567220139260846,182,44,4460
0.4,0.03920723825937096,0.023567220139260846,182,44,4460
0.39,0.03920723825937096,0.023567220139260846,182,44,4460
0.38,0.03963808703145196,0.024102838778789503,184,45,4458
0.37,0.03985351141749246,0.024102838778789503,185,45,4457
0.36000000000000004,0.04006893580353296,0.025174076057846814,186,47,4456
0.34,0.040499784575613956,0.02678093197643278,188,50,4454
0.35000000000000003,0.04006893580353296,0.02678093197643278,186,50,4456
0.33,0.04136148211977596,0.027316550615961437,192,51,4450
0.32,0.042007755277897456,0.027316550615961437,195,51,4447
0.31,0.04222317966393796,0.028387787895018748,196,53,4446
0.3,0.04222317966393796,0.0289234065345474,196,54,4446
0.29000000000000004,0.04265402843601896,0.0289234065345474,198,54,4444
0.28,0.043084877208099955,0.0289234065345474,200,54,4442
0.27,0.04373115036622146,0.02945902517407606,203,55,4439
0.26,0.04373115036622146,0.029994643813604713,203,56,4439
0.25,0.04373115036622146,0.03053026245313337,203,57,4439
0.24000000000000002,0.04416199913830245,0.032137118371719335,205,60,4437
0.23,0.04437742352434296,0.03267273701124799,206,61,4436
0.22,0.04480827229642396,0.03320835565077665,208,62,4434
0.21000000000000002,0.045454545454545456,0.033743974290305304,211,63,4431
0.2,0.04566996984058595,0.033743974290305304,212,63,4430
0.19,0.046100818612666954,0.03481521156936261,214,65,4428
0.18000000000000002,0.046100818612666954,0.03481521156936261,214,65,4428
0.17,0.046962516156828955,0.03481521156936261,218,65,4424
0.16,0.04717794054286945,0.03481521156936261,219,65,4423
0.15000000000000002,0.04739336492890995,0.03642206748794858,220,68,4422
0.14,0.04760878931495045,0.03802892340653455,221,71,4421
0.13,0.04782421370099095,0.03963577932512052,222,74,4420
0.12,0.04890133563119345,0.040707016604177824,227,76,4415
0.11,0.04976303317535545,0.04231387252276379,231,79,4411
0.09,0.051055579491598446,0.0433851098018211,237,81,4405
0.09999999999999999,0.05062473071951745,0.0433851098018211,235,81,4407
0.08,0.052132701421800945,0.044456347080878415,242,83,4400
0.06999999999999999,0.05299439896596295,0.048205677557579006,246,90,4396
0.060000000000000005,0.05342524773804395,0.05249062667380825,248,98,4394
0.05,0.054071520896165445,0.05463310123192287,251,102,4391
0.04,0.055148642826367944,0.06106052490626674,256,114,4386
0.03,0.05644118914261095,0.06480985538296732,262,121,4380
0.02,0.05924170616113744,0.0771290840921264,275,144,4367
0.01,0.06139595002154244,0.09962506695232994,285,186,4357
