th,FPPI,Sensitivity,sens_ci_lo,sens_ci_hi
0.05,0.07224713502740408,0.06850495476087894,0.058547672163695094,0.07690205909311772
0.0875,0.057299451918286,0.06527358897027144,0.056530391424894334,0.07406910043209791
0.125,0.048829098156452415,0.06333476949590694,0.054105055145919324,0.07178724519908428
0.16249999999999998,0.043348281016442454,0.06139595002154244,0.05291619347408414,0.06935509312897921
0.2,0.0408570004982561,0.05967255493321844,0.051678464841097595,0.06807866618037224
0.2375,0.03687095166915795,0.057518311072813445,0.05027646329253912,0.06526620630174876
0.27499999999999997,0.0343796711509716,0.056656613528651444,0.049603731743991374,0.06463773213326932
0.3125,0.03288490284005979,0.055579491598448945,0.048667752929031846,0.06347400490194559
0.35,0.028898854010961636,0.053209823352003444,0.04560708999633789,0.060494543984532356
0.38749999999999996,0.026407573492775286,0.05191727703576045,0.04443018259480595,0.0595402430742979
0.425,0.02491280518186348,0.051055579491598446,0.0438148926012218,0.058624077308923
0.46249999999999997,0.02142501245640259,0.04933218440327445,0.04157225759699941,0.056659314315766096
0.49999999999999994,0.017438963627304436,0.048470486859112455,0.04097112761810422,0.05551031772047281
0.5375,0.016442451420029897,0.04717794054286945,0.038903276529163124,0.054329970944672824
0.5750000000000001,0.013951170901843548,0.045023696682464455,0.03693155543878675,0.05167943686246872
0.6125,0.01195814648729447,0.04265402843601896,0.0343347730115056,0.04898104155436158
0.65,0.01096163428001993,0.04093063334769496,0.0330598384141922,0.04689687332138419
0.6875,0.009965122072745391,0.03813011632916846,0.03113706042058766,0.044562803022563456
0.725,0.008470353761833582,0.036837570012925466,0.029189473390579222,0.042874942813068626
0.7625000000000001,0.007473841554559043,0.03382162860835847,0.026448490796610713,0.03892984138801694
0.8,0.005979073243647235,0.03059026281775097,0.024198081670328976,0.03549173856154084
0.8375,0.003986048829098156,0.025204653166738474,0.019979345472529532,0.02894652062095702
0.875,0.001993024414549078,0.017018526497199482,0.012840496888384224,0.021313782595098016
0.9125,0.0004982561036372695,0.01120206807410599,0.007461936492472887,0.01478029265999794
0.95,0.0,0.001938819474364498,0.0008768023617449217,0.0027837640955112875
